Date,Price
1/12/2018,29553
1/15/2018,29763
1/16/2018,29830
1/17/2018,29761
1/18/2018,29644
1/19/2018,29743
1/22/2018,29806
1/23/2018,29876
1/24/2018,30244
1/25/2018,30367
1/29/2018,30074
1/30/2018,30052
1/31/2018,30064
2/1/2018,30512
2/2/2018,30399
2/5/2018,30286
2/6/2018,30182
2/7/2018,29976
2/8/2018,30103
2/9/2018,29999
2/12/2018,30133
2/13/2018,30195
2/14/2018,30605
2/15/2018,30549
2/16/2018,30785
2/19/2018,30715
2/20/2018,30524
2/21/2018,30459
2/22/2018,30564
2/23/2018,30492
2/26/2018,30518
2/27/2018,30306
2/28/2018,30423
3/1/2018,30181
3/2/2018,30473
3/5/2018,30429
3/6/2018,30568
3/7/2018,30461
3/8/2018,30436
3/9/2018,30408
3/12/2018,30340
3/13/2018,30387
3/14/2018,30413
3/15/2018,30314
3/16/2018,30251
3/19/2018,30432
3/20/2018,30284
3/21/2018,30464
3/22/2018,30506
3/23/2018,30901
3/26/2018,30889
3/27/2018,30717
3/28/2018,30518
3/29/2018,30426
4/2/2018,30961
4/3/2018,30625
4/4/2018,30886
4/5/2018,30505
4/6/2018,30605
4/9/2018,30675
4/10/2018,30798
4/11/2018,31244
4/12/2018,30897
4/13/2018,31005
4/16/2018,31167
4/17/2018,31257
4/18/2018,31410
4/19/2018,31479
4/20/2018,31314
4/23/2018,31164
4/24/2018,31262
4/25/2018,31301
4/26/2018,31158
4/27/2018,31129
4/30/2018,30947
5/1/2018,30874
5/2/2018,30926
5/3/2018,31003
5/4/2018,31068
5/7/2018,31247
5/8/2018,31200
5/9/2018,31303
5/10/2018,31352
5/11/2018,31500
5/14/2018,31496
5/15/2018,31186
5/16/2018,31007
5/17/2018,30986
5/18/2018,31093
5/21/2018,31114
5/22/2018,31111
5/23/2018,31186
5/24/2018,31461
5/25/2018,31194
5/28/2018,30971
5/29/2018,31184
5/30/2018,31030
5/31/2018,30882
6/1/2018,30568
6/4/2018,30708
6/5/2018,30699
6/6/2018,30755
6/7/2018,31055
6/8/2018,31076
6/11/2018,31035
6/12/2018,30952
6/13/2018,30952
6/14/2018,31145
6/15/2018,30804
6/18/2018,30773
6/19/2018,30702
6/20/2018,30605
6/21/2018,30451
6/22/2018,30498
6/25/2018,30540
6/26/2018,30480
6/27/2018,30606
6/28/2018,30431
6/29/2018,30363
7/2/2018,30153
7/3/2018,30469
7/4/2018,30510
7/5/2018,30541
7/6/2018,30582
7/9/2018,30638
7/10/2018,30551
7/11/2018,30344
7/12/2018,30175
7/13/2018,30131
7/16/2018,30103
7/17/2018,29757
7/18/2018,29799
7/19/2018,29913
7/20/2018,29957
7/23/2018,29914
7/24/2018,29912
7/25/2018,29959
7/26/2018,29836
7/27/2018,29805
7/30/2018,29755
7/31/2018,29638
8/1/2018,29462
8/2/2018,29520
8/3/2018,29800
8/6/2018,29563
8/7/2018,29534
8/8/2018,29544
8/9/2018,29605
8/10/2018,29706
8/13/2018,29665
8/14/2018,29664
8/16/2018,29275
8/17/2018,29275
8/20/2018,29435
8/21/2018,29542
8/22/2018,29627
8/23/2018,29576
8/24/2018,29882
8/27/2018,29973
8/28/2018,29981
8/29/2018,30144
8/30/2018,30131
8/31/2018,30116
9/3/2018,30327
9/4/2018,30221
9/5/2018,30310
9/6/2018,30565
9/7/2018,30509
9/10/2018,30725
9/11/2018,30732
9/12/2018,30664
9/13/2018,30470
9/14/2018,30453
9/17/2018,30778
9/18/2018,30811
9/19/2018,30649
9/20/2018,30623
9/21/2018,30609
9/24/2018,30862
9/25/2018,30838
9/26/2018,30608
9/27/2018,30356
9/28/2018,30479
10/1/2018,30614
10/3/2018,31025
10/4/2018,31136
10/5/2018,31233
10/8/2018,31096
10/9/2018,31161
10/10/2018,31247
10/11/2018,31793
10/12/2018,31670
10/15/2018,31877
10/16/2018,31701
10/17/2018,31702
10/18/2018,31885
10/19/2018,31737
10/22/2018,31729
10/23/2018,31871
10/24/2018,31723
10/25/2018,31683
10/26/2018,31764
10/29/2018,31730
10/30/2018,31725
10/31/2018,31631
11/1/2018,31783
11/2/2018,31737
11/5/2018,31783
11/6/2018,31657
11/7/2018,31602
11/8/2018,31408
11/9/2018,31023
11/12/2018,31014
11/13/2018,30778
11/14/2018,30838
11/15/2018,30831
11/16/2018,31017
11/19/2018,30888
11/20/2018,30830
11/21/2018,30839
11/22/2018,30613
11/23/2018,30513
11/26/2018,30574
11/27/2018,30423
11/28/2018,30457
11/29/2018,30253
11/30/2018,30186
12/3/2018,30787
12/4/2018,30964
12/5/2018,30926
12/6/2018,31005
12/7/2018,31440
12/10/2018,31895
12/11/2018,31812
12/12/2018,31626
12/13/2018,31414
12/14/2018,31437
12/17/2018,31501
12/18/2018,31075
12/19/2018,31139
12/20/2018,31219
12/21/2018,31126
12/24/2018,31375
12/26/2018,31463
12/27/2018,31611
12/28/2018,31506
12/31/2018,31489
1/1/2019,31560
1/2/2019,31934
1/3/2019,31939
1/4/2019,31679
1/7/2019,31652
1/8/2019,31736
1/9/2019,31993
1/10/2019,31878
1/11/2019,31924
1/14/2019,32130
1/15/2019,32169
1/16/2019,32272
1/17/2019,32253
1/18/2019,32089
1/21/2019,32039
1/22/2019,32154
1/23/2019,32135
1/24/2019,32016
1/25/2019,32339
1/28/2019,32536
1/29/2019,32891
1/30/2019,32903
1/31/2019,33100
2/1/2019,33405
2/4/2019,33455
2/5/2019,33381
2/6/2019,33222
2/7/2019,33056
2/8/2019,33125
2/11/2019,32931
2/12/2019,32747
2/13/2019,32909
2/14/2019,32970
2/15/2019,33263
2/18/2019,33463
2/19/2019,33753
2/20/2019,33719
2/21/2019,33302
2/22/2019,33369
2/25/2019,33159
2/26/2019,33228
2/27/2019,33171
2/28/2019,32902
3/1/2019,32533
3/4/2019,32505
3/5/2019,32015
3/6/2019,31954
3/7/2019,31946
3/8/2019,32174
3/11/2019,31915
3/12/2019,32015
3/13/2019,32225
3/14/2019,31832
3/15/2019,31853
3/18/2019,31685
3/19/2019,31985
3/20/2019,31740
3/21/2019,31842
3/22/2019,32155
3/25/2019,32223
3/26/2019,32113
3/27/2019,32019
3/28/2019,31624
3/29/2019,31703
4/1/2019,31570
4/2/2019,31535
4/3/2019,31450
4/4/2019,31503
4/5/2019,31566
4/8/2019,32076
4/9/2019,32098
4/10/2019,32174
4/11/2019,31663
4/12/2019,31760
4/15/2019,31760
4/16/2019,31474
4/17/2019,31410
4/18/2019,31403
4/22/2019,31531
4/23/2019,31525
4/24/2019,31759
4/25/2019,31843
4/26/2019,31868
4/30/2019,31625
5/1/2019,31563
5/2/2019,31203
5/3/2019,31341
5/6/2019,31578
5/7/2019,31739
5/8/2019,31697
5/9/2019,31926
5/10/2019,31917
5/13/2019,32499
5/14/2019,32248
5/15/2019,32261
